timestamp,ir_value
297474,91157
297482,91218
297490,91259
297498,91209
297506,91201
297514,91161
297522,91150
297530,91138
297538,91068
297546,91068
297554,91040
297562,91012
297570,90959
297578,90962
297586,91028
297594,90980
297602,91026
297610,91024
297618,91081
297626,91161
297634,91218
297642,91275
297650,91318
297658,91342
297666,91425
297674,91520
297682,91559
297690,91641
297698,91735
297706,91712
297714,91845
297722,91850
297730,91898
297738,91973
297746,91970
297754,91950
297762,91865
297770,91674
297778,91422
297786,91086
297794,90747
297802,90519
297810,90396
297818,90269
297826,91970
297834,90089
297842,90033
297850,90019
297858,90025
297866,90006
297874,90045
297882,90153
297890,90221
297898,90285
297906,90404
297914,90427
297922,90566
297930,90646
297938,90749
297946,90849
297954,90880
297962,90986
297970,91056
297978,91146
297986,91220
297994,91211
298002,91261
298010,91269
298018,91287
298026,91269
298034,91248
298042,91310
298050,91283
298193,91804
298201,91885
298209,91939
298217,92048
298225,92080
298233,92115
298241,92191
298249,92205
298257,92248
298265,92264
298273,92240
298281,92284
298289,92212
298297,92089
298305,91850
298313,91506
298321,91205
298329,90850
298337,90669
298345,90575
298353,90517
298361,90427
298369,90463
298377,90454
298385,90491
298393,90550
298401,90548
298409,90694
298417,90734
298425,90862
298433,90954
298441,90997
298449,91154
298457,91227
298465,91347
298473,91383
298481,91513
298489,91603
298497,91687
298505,91750
298513,91796
298521,91803
298529,91925
298537,91938
298545,91927
298553,91971
298561,91923
298569,91904
298577,91894
298585,91845
298593,91826
298601,91853
298609,91740
298617,91750
298625,91735
298633,91717
298641,91744
298649,91729
298657,91763
298665,91794
298673,91841
298681,91837
298689,91869
298697,91955
298705,92000
298713,92056
298721,92098
298729,91729
298737,92198
298745,92235
298753,92297
298761,92349
298769,92367
298777,92407
298785,92560
298793,92555
298801,92602
298809,92632
298817,92528
298825,92380
298833,92151
298841,91817
298849,91496
298857,91103
298865,90844
298873,90672
298881,90600
298889,90482
298897,90458
298905,90425
298913,90411
298921,90460
298929,90555
298937,90536
298945,90578
298953,90624
298961,90699
